Decimal,Hex,Inserted,Generated,Gardiner Code,Gardiner Category
78549,132D5,𓋕,𓋕,S004,S
78550,132D6,𓋖,𓋖,S005,S
78551,132D7,𓋗,𓋗,S006,S
78552,132D8,𓋘,𓋘,S006A,S
78553,132D9,𓋙,𓋙,S007,S
78554,132DA,𓋚,𓋚,S008,S
78555,132DB,𓋛,𓋛,S009,S
78556,132DC,𓋜,𓋜,S010,S
78557,132DD,𓋝,𓋝,S011,S
78558,132DE,𓋞,𓋞,S012,S
78559,132DF,𓋟,𓋟,S013,S
78560,132E0,𓋠,𓋠,S014,S
78561,132E1,𓋡,𓋡,S014A,S
78562,132E2,𓋢,𓋢,S014B,S
78563,132E3,𓋣,𓋣,S015,S
78564,132E4,𓋤,𓋤,S016,S
78565,132E5,𓋥,𓋥,S017,S
78566,132E6,𓋦,𓋦,S017A,S
78567,132E7,𓋧,𓋧,S018,S
78568,132E8,𓋨,𓋨,S019,S
78569,132E9,𓋩,𓋩,S020,S
78570,132EA,𓋪,𓋪,S021,S
78571,132EB,𓋫,𓋫,S022,S
78572,132EC,𓋬,𓋬,S023,S
78573,132ED,𓋭,𓋭,S024,S
78574,132EE,𓋮,𓋮,S025,S
78575,132EF,𓋯,𓋯,S026,S
78576,132F0,𓋰,𓋰,S026A,S
78577,132F1,𓋱,𓋱,S026B,S
78578,132F2,𓋲,𓋲,S027,S
78579,132F3,𓋳,𓋳,S028,S
78580,132F4,𓋴,𓋴,S029,S
78581,132F5,𓋵,𓋵,S030,S
78582,132F6,𓋶,𓋶,S031,S
78583,132F7,𓋷,𓋷,S032,S
78584,132F8,𓋸,𓋸,S033,S
78585,132F9,𓋹,𓋹,S034,S
78586,132FA,𓋺,𓋺,S035,S
78587,132FB,𓋻,𓋻,S035A,S
78588,132FC,𓋼,𓋼,S036,S
78589,132FD,𓋽,𓋽,S037,S
78590,132FE,𓋾,𓋾,S038,S
78591,132FF,𓋿,𓋿,S039,S
78592,13300,𓌀,𓌀,S040,S
78593,13301,𓌁,𓌁,S041,S
78594,13302,𓌂,𓌂,S042,S
78595,13303,𓌃,𓌃,S043,S
78596,13304,𓌄,𓌄,S044,S
78597,13305,𓌅,𓌅,S045,S
78598,13306,𓌆,𓌆,S046,S
78599,13307,𓌇,𓌇,T001,T
78600,13308,𓌈,𓌈,T002,T
78601,13309,𓌉,𓌉,T003,T
78602,1330A,𓌊,𓌊,T003A,T
78603,1330B,𓌋,𓌋,T004,T
78604,1330C,𓌌,𓌌,T005,T
78605,1330D,𓌍,𓌍,T006,T
78606,1330E,𓌎,𓌎,T007,T
78607,1330F,𓌏,𓌏,T007A,T
78608,13310,𓌐,𓌐,T008,T
78609,13311,𓌑,𓌑,T008A,T
78610,13312,𓌒,𓌒,T009,T
78611,13313,𓌓,𓌓,T009A,T
78612,13314,𓌔,𓌔,T010,T
78613,13315,𓌕,𓌕,T011,T
78614,13316,𓌖,𓌖,T011A,T
78615,13317,𓌗,𓌗,T012,T
78616,13318,𓌘,𓌘,T013,T
78617,13319,𓌙,𓌙,T014,T
78618,1331A,𓌚,𓌚,T015,T
78619,1331B,𓌛,𓌛,T016,T
78620,1331C,𓌜,𓌜,T016A,T
78621,1331D,𓌝,𓌝,T017,T
78622,1331E,𓌞,𓌞,T018,T
78623,1331F,𓌟,𓌟,T019,T
78624,13320,𓌠,𓌠,T020,T
78625,13321,𓌡,𓌡,T021,T
78626,13322,𓌢,𓌢,T022,T
78627,13323,𓌣,𓌣,T023,T
78628,13324,𓌤,𓌤,T024,T
78629,13325,𓌥,𓌥,T025,T
78630,13326,𓌦,𓌦,T026,T
78631,13327,𓌧,𓌧,T027,T
78632,13328,𓌨,𓌨,T028,T
78633,13329,𓌩,𓌩,T029,T
78634,1332A,𓌪,𓌪,T030,T
78635,1332B,𓌫,𓌫,T031,T
78636,1332C,𓌬,𓌬,T032,T
78637,1332D,𓌭,𓌭,T032A,T
78638,1332E,𓌮,𓌮,T033,T
78639,1332F,𓌯,𓌯,T033A,T
78640,13330,𓌰,𓌰,T034,T
78641,13331,𓌱,𓌱,T035,T
78642,13332,𓌲,𓌲,T036,T
78643,13333,𓌳,𓌳,U001,U
78644,13334,𓌴,𓌴,U002,U
78645,13335,𓌵,𓌵,U003,U
78646,13336,𓌶,𓌶,U004,U
78647,13337,𓌷,𓌷,U005,U
78648,13338,𓌸,𓌸,U006,U
78649,13339,𓌹,𓌹,U006A,U
78650,1333A,𓌺,𓌺,U006B,U
78651,1333B,𓌻,𓌻,U007,U
78652,1333C,𓌼,𓌼,U008,U
78653,1333D,𓌽,𓌽,U009,U
78654,1333E,𓌾,𓌾,U010,U
78655,1333F,𓌿,𓌿,U011,U
78656,13340,𓍀,𓍀,U012,U
78657,13341,𓍁,𓍁,U013,U
78658,13342,𓍂,𓍂,U014,U
78659,13343,𓍃,𓍃,U015,U
78660,13344,𓍄,𓍄,U016,U
78661,13345,𓍅,𓍅,U017,U
78662,13346,𓍆,𓍆,U018,U
78663,13347,𓍇,𓍇,U019,U
78664,13348,𓍈,𓍈,U020,U
78665,13349,𓍉,𓍉,U021,U
78666,1334A,𓍊,𓍊,U022,U
78667,1334B,𓍋,𓍋,U023,U
78668,1334C,𓍌,𓍌,U023A,U
78669,1334D,𓍍,𓍍,U024,U
78670,1334E,𓍎,𓍎,U025,U
78671,1334F,𓍏,𓍏,U026,U
78672,13350,𓍐,𓍐,U027,U
78673,13351,𓍑,𓍑,U028,U
78674,13352,𓍒,𓍒,U029,U
78675,13353,𓍓,𓍓,U029A,U
78676,13354,𓍔,𓍔,U030,U
78677,13355,𓍕,𓍕,U031,U
78678,13356,𓍖,𓍖,U032,U
78679,13357,𓍗,𓍗,U032A,U
78680,13358,𓍘,𓍘,U033,U
78681,13359,𓍙,𓍙,U034,U
78682,1335A,𓍚,𓍚,U035,U
78683,1335B,𓍛,𓍛,U036,U
78684,1335C,𓍜,𓍜,U037,U
78685,1335D,𓍝,𓍝,U038,U
78686,1335E,𓍞,𓍞,U039,U
78687,1335F,𓍟,𓍟,U040,U
78688,13360,𓍠,𓍠,U041,U
78689,13361,𓍡,𓍡,U042,U
78690,13362,𓍢,𓍢,V001,V
78691,13363,𓍣,𓍣,V001A,V
78692,13364,𓍤,𓍤,V001B,V
78693,13365,𓍥,𓍥,V001C,V
78694,13366,𓍦,𓍦,V001D,V
78695,13367,𓍧,𓍧,V001E,V
78696,13368,𓍨,𓍨,V001F,V
78697,13369,𓍩,𓍩,V001G,V
78698,1336A,𓍪,𓍪,V001H,V
78699,1336B,𓍫,𓍫,V001I,V
78700,1336C,𓍬,𓍬,V002,V
78701,1336D,𓍭,𓍭,V002A,V
78702,1336E,𓍮,𓍮,V003,V
78703,1336F,𓍯,𓍯,V004,V
78704,13370,𓍰,𓍰,V005,V
78705,13371,𓍱,𓍱,V006,V
78706,13372,𓍲,𓍲,V007,V
78707,13373,𓍳,𓍳,V007A,V
78708,13374,𓍴,𓍴,V007B,V
78709,13375,𓍵,𓍵,V008,V
78710,13376,𓍶,𓍶,V009,V
78711,13377,𓍷,𓍷,V010,V
78712,13378,𓍸,𓍸,V011,V
78713,13379,𓍹,𓍹,V011A,V
78714,1337A,𓍺,𓍺,V011B,V
78715,1337B,𓍻,𓍻,V011C,V
78716,1337C,𓍼,𓍼,V012,V
78717,1337D,𓍽,𓍽,V012A,V
78718,1337E,𓍾,𓍾,V012B,V
78719,1337F,𓍿,𓍿,V013,V
78720,13380,𓎀,𓎀,V014,V
78721,13381,𓎁,𓎁,V015,V
78722,13382,𓎂,𓎂,V016,V
78723,13383,𓎃,𓎃,V017,V
78724,13384,𓎄,𓎄,V018,V
78725,13385,𓎅,𓎅,V019,V
78726,13386,𓎆,𓎆,V020,V
78727,13387,𓎇,𓎇,V020A,V
78728,13388,𓎈,𓎈,V020B,V
78729,13389,𓎉,𓎉,V020C,V
78730,1338A,𓎊,𓎊,V020D,V
78731,1338B,𓎋,𓎋,V020E,V
78732,1338C,𓎌,𓎌,V020F,V
78733,1338D,𓎍,𓎍,V020G,V
78734,1338E,𓎎,𓎎,V020H,V
78735,1338F,𓎏,𓎏,V020I,V
78736,13390,𓎐,𓎐,V020J,V
78737,13391,𓎑,𓎑,V020K,V
78738,13392,𓎒,𓎒,V020L,V
78739,13393,𓎓,𓎓,V021,V
78740,13394,𓎔,𓎔,V022,V
78741,13395,𓎕,𓎕,V023,V
78742,13396,𓎖,𓎖,V023A,V
78743,13397,𓎗,𓎗,V024,V
78744,13398,𓎘,𓎘,V025,V
78745,13399,𓎙,𓎙,V026,V
78746,1339A,𓎚,𓎚,V027,V
78747,1339B,𓎛,𓎛,V028,V
78748,1339C,𓎜,𓎜,V028A,V
78749,1339D,𓎝,𓎝,V029,V
78750,1339E,𓎞,𓎞,V029A,V
78751,1339F,𓎟,𓎟,V030,V
78752,133A0,𓎠,𓎠,V030A,V
78753,133A1,𓎡,𓎡,V031,V
78754,133A2,𓎢,𓎢,V031A,V
78755,133A3,𓎣,𓎣,V032,V
78756,133A4,𓎤,𓎤,V033,V
78757,133A5,𓎥,𓎥,V033A,V
78758,133A6,𓎦,𓎦,V034,V
78759,133A7,𓎧,𓎧,V035,V
78760,133A8,𓎨,𓎨,V036,V
78761,133A9,𓎩,𓎩,V037,V
78762,133AA,𓎪,𓎪,V037A,V
78763,133AB,𓎫,𓎫,V038,V
78764,133AC,𓎬,𓎬,V039,V
78765,133AD,𓎭,𓎭,V040,V
78766,133AE,𓎮,𓎮,V040A,V
78767,133AF,𓎯,𓎯,W001,W
78768,133B0,𓎰,𓎰,W002,W
78769,133B1,𓎱,𓎱,W003,W
78770,133B2,𓎲,𓎲,W003A,W
78771,133B3,𓎳,𓎳,W004,W
78772,133B4,𓎴,𓎴,W005,W
78773,133B5,𓎵,𓎵,W006,W
78774,133B6,𓎶,𓎶,W007,W
78775,133B7,𓎷,𓎷,W008,W
78776,133B8,𓎸,𓎸,W009,W
78777,133B9,𓎹,𓎹,W009A,W
78778,133BA,𓎺,𓎺,W010,W
78779,133BB,𓎻,𓎻,W010A,W
78780,133BC,𓎼,𓎼,W011,W
78781,133BD,𓎽,𓎽,W012,W
78782,133BE,𓎾,𓎾,W013,W
78783,133BF,𓎿,𓎿,W014,W
78784,133C0,𓏀,𓏀,W014A,W
78785,133C1,𓏁,𓏁,W015,W
78786,133C2,𓏂,𓏂,W016,W
78787,133C3,𓏃,𓏃,W017,W
78788,133C4,𓏄,𓏄,W017A,W
78789,133C5,𓏅,𓏅,W018,W
78790,133C6,𓏆,𓏆,W018A,W
78791,133C7,𓏇,𓏇,W019,W
78792,133C8,𓏈,𓏈,W020,W
78793,133C9,𓏉,𓏉,W021,W
78794,133CA,𓏊,𓏊,W022,W
78795,133CB,𓏋,𓏋,W023,W
78796,133CC,𓏌,𓏌,W024,W
78797,133CD,𓏍,𓏍,W024A,W
78798,133CE,𓏎,𓏎,W025,W
78799,133CF,𓏏,𓏏,X001,X
78800,133D0,𓏐,𓏐,X002,X
78801,133D1,𓏑,𓏑,X003,X
78802,133D2,𓏒,𓏒,X004,X
78803,133D3,𓏓,𓏓,X004A,X
78804,133D4,𓏔,𓏔,X004B,X
78805,133D5,𓏕,𓏕,X005,X
78806,133D6,𓏖,𓏖,X006,X
78807,133D7,𓏗,𓏗,X006A,X
78808,133D8,𓏘,𓏘,X007,X
78809,133D9,𓏙,𓏙,X008,X
78810,133DA,𓏚,𓏚,X008A,X
78811,133DB,𓏛,𓏛,Y001,Y
78812,133DC,𓏜,𓏜,Y001A,Y
78813,133DD,𓏝,𓏝,Y002,Y
78814,133DE,𓏞,𓏞,Y003,Y
78815,133DF,𓏟,𓏟,Y004,Y
78816,133E0,𓏠,𓏠,Y005,Y
78817,133E1,𓏡,𓏡,Y006,Y
78818,133E2,𓏢,𓏢,Y007,Y
78819,133E3,𓏣,𓏣,Y008,Y
78820,133E4,𓏤,𓏤,Z001,Z
78821,133E5,𓏥,𓏥,Z002,Z
78822,133E6,𓏦,𓏦,Z002A,Z
78823,133E7,𓏧,𓏧,Z002B,Z
78824,133E8,𓏨,𓏨,Z002C,Z
78825,133E9,𓏩,𓏩,Z002D,Z
78826,133EA,𓏪,𓏪,Z003,Z
78827,133EB,𓏫,𓏫,Z003A,Z
78828,133EC,𓏬,𓏬,Z003B,Z
78829,133ED,𓏭,𓏭,Z004,Z
78830,133EE,𓏮,𓏮,Z004A,Z
78831,133EF,𓏯,𓏯,Z005,Z
78832,133F0,𓏰,𓏰,Z005A,Z
78833,133F1,𓏱,𓏱,Z006,Z
78834,133F2,𓏲,𓏲,Z007,Z
78835,133F3,𓏳,𓏳,Z008,Z
78836,133F4,𓏴,𓏴,Z009,Z
78837,133F5,𓏵,𓏵,Z010,Z
78838,133F6,𓏶,𓏶,Z011,Z
78839,133F7,𓏷,𓏷,Z012,Z
78840,133F8,𓏸,𓏸,Z013,Z
78841,133F9,𓏹,𓏹,Z014,Z
78842,133FA,𓏺,𓏺,Z015,Z
78843,133FB,𓏻,𓏻,Z015A,Z
78844,133FC,𓏼,𓏼,Z015B,Z
78845,133FD,𓏽,𓏽,Z015C,Z
78846,133FE,𓏾,𓏾,Z015D,Z
78847,133FF,𓏿,𓏿,Z015E,Z
78848,13400,𓐀,𓐀,Z015F,Z
78849,13401,𓐁,𓐁,Z015G,Z
78850,13402,𓐂,𓐂,Z015H,Z
78851,13403,𓐃,𓐃,Z015I,Z
78852,13404,𓐄,𓐄,Z016,Z
78853,13405,𓐅,𓐅,Z016A,Z
78854,13406,𓐆,𓐆,Z016B,Z
78855,13407,𓐇,𓐇,Z016C,Z
78856,13408,𓐈,𓐈,Z016D,Z
78857,13409,𓐉,𓐉,Z016E,Z
78858,1340A,𓐊,𓐊,Z016F,Z
78859,1340B,𓐋,𓐋,Z016G,Z
78860,1340C,𓐌,𓐌,Z016H,Z
78861,1340D,𓐍,𓐍,AA001,AA
78862,1340E,𓐎,𓐎,AA002,AA
78863,1340F,𓐏,𓐏,AA003,AA
78864,13410,𓐐,𓐐,AA004,AA
78865,13411,𓐑,𓐑,AA005,AA
78866,13412,𓐒,𓐒,AA006,AA
78867,13413,𓐓,𓐓,AA007,AA
78868,13414,𓐔,𓐔,AA007A,AA
78869,13415,𓐕,𓐕,AA007B,AA
78870,13416,𓐖,𓐖,AA008,AA
78871,13417,𓐗,𓐗,AA009,AA
78872,13418,𓐘,𓐘,AA010,AA
78873,13419,𓐙,𓐙,AA011,AA
78874,1341A,𓐚,𓐚,AA012,AA
78875,1341B,𓐛,𓐛,AA013,AA
78876,1341C,𓐜,𓐜,AA014,AA
78877,1341D,𓐝,𓐝,AA015,AA
78878,1341E,𓐞,𓐞,AA016,AA
78879,1341F,𓐟,𓐟,AA017,AA
78880,13420,𓐠,𓐠,AA018,AA
78881,13421,𓐡,𓐡,AA019,AA
78882,13422,𓐢,𓐢,AA020,AA
78883,13423,𓐣,𓐣,AA021,AA
78884,13424,𓐤,𓐤,AA022,AA
78885,13425,𓐥,𓐥,AA023,AA
78886,13426,𓐦,𓐦,AA024,AA
78887,13427,𓐧,𓐧,AA025,AA
78888,13428,𓐨,𓐨,AA026,AA
78889,13429,𓐩,𓐩,AA027,AA
78890,1342A,𓐪,𓐪,AA028,AA
78891,1342B,𓐫,𓐫,AA029,AA
78892,1342C,𓐬,𓐬,AA030,AA
78893,1342D,𓐭,𓐭,AA031,AA
78894,1342E,𓐮,𓐮,AA032,AA
